        xo      kBT/p         gC         kb      score          A         r1         r2
       0.1        100         10         41   0.168624          0    1.04357    1.04384
       0.2        100         10         41   0.156554          0    1.02291    1.03455
       0.3        100         10         41   0.184683          0     1.0114    1.03079
       0.4        100         10         41   0.225257          0    1.00363    1.02899
       0.5        100         10         41   0.293295          0    0.99736     1.0287
       0.6        100         10         41   0.409604          0   0.990289    1.03024
       0.7        100         10         41   0.459246          0   0.983511    1.02777
       0.8        100         10         41   0.872155          0   0.978699    1.00745
       0.1         10         10         41   0.605435          0   0.762848    1.05812
       0.2         10         10         41   0.230785          0    1.06415    1.05434
       0.3         10         10         41   0.213475          0    1.05991    1.05129
       0.4         10         10         41   0.190626          0    1.05302    1.04807
       0.5         10         10         41   0.162735          0    1.04166    1.04306
       0.6         10         10         41   0.150897          0    1.02539    1.03534
       0.7         10         10         41   0.184025          0    1.00845    1.02901
       0.8         10         10         41   0.339618          0   0.990703     1.0262
       0.1         19         10         41    0.23652          0    1.06321    1.05564
       0.2         19         10         41   0.209647          0    1.05898    1.05091
       0.3         19         10         41   0.182926          0    1.05045    1.04687
       0.4         19         10         41   0.157303          0    1.03883    1.04152
       0.5         19         10         41   0.151577          0    1.02516     1.0353
       0.6         19         10         41     0.1791          0    1.01179    1.03031
       0.7         19         10         41   0.254018          0   0.999302    1.02668
       0.8         19         10         41   0.429229          0   0.986816    1.02525
       0.1          1         10         41     4.1721          0    1.27036    1.01129
       0.2          1         10         41    1.57254          0    1.12849   0.887425
       0.3          1         10         41    0.92472          0    1.04057   0.903861
       0.4          1         10         41   0.692253          0   0.968275   0.920658
       0.5          1         10         41   0.463216          0   0.946724     1.0303
       0.6          1         10         41   0.232249          0    1.06384    1.05439
       0.7          1         10         41   0.202455          0    1.05587    1.05032
       0.8          1         10         41   0.154779          0    1.02827     1.0368
       0.1         28         10         41   0.227252          0    1.06275    1.05289
       0.2         28         10         41    0.19169          0    1.05347    1.04816
       0.3         28         10         41   0.164986          0    1.04163    1.04286
       0.4         28         10         41    0.15359          0    1.02863    1.03669
       0.5         28         10         41   0.167608          0     1.0164    1.03178
       0.6         28         10         41   0.197508          0    1.00547    1.02894
       0.7         28         10         41   0.303537          0   0.993617    1.02746
       0.8         28         10         41   0.454479          0   0.982856    1.02436
       0.1         37         10         41   0.215035          0    1.06055    1.05143
       0.2         37         10         41   0.178444          0    1.04809    1.04588
       0.3         37         10         41     0.1555          0    1.03433    1.03941
       0.4         37         10         41   0.158379          0    1.02166    1.03391
       0.5         37         10         41   0.183425          0    1.01105    1.03045
       0.6         37         10         41   0.226898          0    1.00137    1.02803
       0.7         37         10         41   0.388729          0   0.991392    1.02812
       0.8         37         10         41   0.512416          0   0.978901     1.0229
       0.1         46         10         41   0.206319          0    1.05803    1.05028
       0.2         46         10         41   0.167968          0    1.04301    1.04352
       0.3         46         10         41    0.15321          0    1.02861    1.03691
       0.4         46         10         41   0.166065          0    1.01685    1.03212
       0.5         46         10         41   0.195201          0    1.00698    1.02968
       0.6         46         10         41   0.240287          0   0.998728    1.02757
       0.7         46         10         41   0.410353          0   0.989537    1.02812
       0.8         46         10         41   0.575051          0   0.974494    1.02254
       0.1         55         10         41   0.196519          0    1.05553    1.04905
       0.2         55         10         41   0.158215          0    1.03847    1.04133
       0.3         55         10         41   0.153724          0    1.02401    1.03497
       0.4         55         10         41   0.173316          0    1.01343    1.03109
       0.5         55         10         41   0.205155          0    1.00453    1.02941
       0.6         55         10         41   0.307607          0   0.996999    1.02812
       0.7         55         10         41   0.402518          0   0.988102    1.02853
       0.8         55         10         41   0.544553          0    0.97748    1.02207
       0.1         64         10         41   0.190535          0    1.05309    1.04785
       0.2         64         10         41   0.152239          0    1.03442     1.0395
       0.3         64         10         41   0.161521          0    1.02042    1.03344
       0.4         64         10         41   0.184105          0     1.0104    1.03051
       0.5         64         10         41   0.246696          0    1.00302    1.02836
       0.6         64         10         41   0.306071          0   0.993776    1.02855
       0.7         64         10         41   0.436149          0    0.98788    1.02733
       0.8         64         10         41   0.575879          0   0.977225    1.02171
       0.1         73         10         41   0.183412          0    1.05066    1.04676
       0.2         73         10         41   0.155945          0    1.03082    1.03784
       0.3         73         10         41   0.163355          0    1.01755    1.03243
       0.4         73         10         41   0.181897          0    1.00819    1.03003
       0.5         73         10         41   0.244396          0    1.00123    1.02812
       0.6         73         10         41   0.338799          0   0.992938    1.02909
       0.7         73         10         41   0.448132          0   0.986508    1.02758
       0.8         73         10         41   0.587744          0   0.976103    1.02225
       0.1         82         10         41   0.178429          0    1.04824    1.04585
       0.2         82         10         41   0.151228          0    1.02789     1.0366
       0.3         82         10         41   0.167307          0    1.01516    1.03167
       0.4         82         10         41   0.198748          0    1.00618    1.02962
       0.5         82         10         41    0.26166          0   0.999128    1.02799
       0.6         82         10         41   0.386728          0   0.992394    1.02927
       0.7         82         10         41   0.430752          0   0.984605    1.02783
       0.8         82         10         41   0.758914          0   0.975573    1.01845
       0.1         91         10         41   0.172094          0    1.04587     1.0447
       0.2         91         10         41   0.152101          0     1.0252    1.03543
       0.3         91         10         41   0.173875          0    1.01322     1.0312
       0.4         91         10         41   0.202534          0     1.0049    1.02955
       0.5         91         10         41    0.28164          0   0.997823    1.02828
       0.6         91         10         41    0.39453          0   0.991753    1.02963
       0.7         91         10         41    0.44003          0   0.984147    1.02792
       0.8         91         10         41    1.05458          0   0.975462    1.00996
       0.1        100         10         41   0.169336         10    1.05262    1.04046
       0.2        100         10         41    0.15446         10     1.0288    1.03258
       0.3        100         10         41   0.175666         10    1.01551    1.02958
       0.4        100         10         41   0.223978         10    1.00705    1.02841
       0.5        100         10         41   0.293002         10   0.999769    1.02864
       0.6        100         10         41   0.411929         10   0.991864    1.03024
       0.7        100         10         41   0.479688         10   0.984557    1.02603
       0.8        100         10         41   0.845297         10   0.981517    1.01019
       0.1         10         10         41   0.809617         10     1.2233    0.38056
       0.2         10         10         41   0.250123         10    1.09125    1.03908
       0.3         10         10         41   0.226631         10    1.07615    1.04303
       0.4         10         10         41    0.19697         10    1.06441    1.04303
       0.5         10         10         41    0.16752         10    1.05027    1.03989
       0.6         10         10         41   0.152888         10    1.03154    1.03333
       0.7         10         10         41   0.184158         10    1.01212    1.02807
       0.8         10         10         41   0.337801         10    0.99277    1.02629
       0.1         19         10         41   0.258731         10    1.09694    1.03664
       0.2         19         10         41   0.222241         10    1.07409    1.04336
